     551       529       541
     519       529       540
     529       551       540
     193       162       191
     193       205       173
     205       178       173
     206       238       219
     196       219       230
      12        13        75
     110        83        75
     120       110       146
     110       120        83
      12        43        11
      43        12        75
      83        43        75
       4        74        63
     450       468       457
     495       506       484
     506       495       519
     471       495       484
     494       486       505
     730       687       720
     768       809       782
     608       634       614
     669       656       702
     656       669       630
     638       669       679
     669       638       630
     745       775       774
     748       745       774
     734       745       702
     745       734       775
     728       698       721
     752       728       721
     752       768       782
     374       359       342
     557       551       541
     529       523       541
     513       494       505
     523       513       505
     513       523       529
     513       529       519
     495       513       519
     513       495       494
     531       519       540
     531       506       519
     162       157       123
     157       162       193
     157       193       173
     130       162       123
     282       266       297
     178       215       192
     205       215       178
     226       206       192
     215       226       192
     238       226       260
     226       238       206
     179       206       219
     196       179       219
     195       227       217
     287       266       264
     266       287       297
     305       324       331
     222       205       193
     273       249       269
     273       287       264
     287       273       305
     249       243       269
     240       243       218
     178       148       173
      94        93       131
     165       154       188
     203       165       188
     275       242       231
     242       274       257
     274       242       275
     110       138       146
     133       167       137
     145       116       122
     170       177       189
       3         4        63
      73         3        63
     104        73        63
      74       104        63
       5        74         4
      43        57        11
      57        43        83
      58        53         6
      53         5         6
       5        53        74
       8         9        67
      58         8        67
     422       405       403
     424       422       403
     352       361       335
     227       251       217
     350       361       372
     350       327       335
     361       350       335
     381       373       403
     405       381       403
     381       352       373
     352       381       361
     438       450       457
     478       471       457
     468       478       457
     495       478       494
     478       495       471
     486       478       468
     478       486       494
     471       448       457
     448       438       457
     438       448       425
     208       198       182
     208       234       223
     198       208       223
      35        36        50
     158       135       127
     982       923       920
     877       866       904
     872       837       845
     809       794       832
     768       794       809
     839       803       833
     866       839       833
     839       877       845
     877       839       866
     837       812       845
     812       839       845
     839       812       803
     881       878       913
     878       881       849
     681       662       651
     677       681       651
     603       608       588
     612       589       602
     612       606       589
     658       638       679
     424       436       446
     436       424       410
     472       464       446
     576       607       602
     638       607       630
     589       574       602
     574       576       602
     791       787       754
     847       821       818
     805       806       774
     805       775       813
     775       805       774
     806       777       774
     777       748       774
     906       873       909
     824       820       787
     791       824       787
     856       824       855
     824       856       820
     712       669       702
     745       712       702
     712       745       748
     669       712       679
     723       710       754
     723       683       710
     734       758       775
     723       758       734
     787       758       754
     758       723       754
     795       764       786
     740       752       721
     752       740       768
     792       762       782
     762       752       782
     762       792       779
     752       762       728
     369       386       360
     287       317       297
     317       305       331
     317       287       305
     311       282       297
     674       693       654
     383       374       398
     374       383       359
     443       427       414
     255       275       231
     374       401       398
     384       401       374
     401       384       407
     570       557       580
     557       570       551
     518       509       536
     518       539       521
     539       518       536
     811       834       808
     819       784       817
     784       819       796
     803       798       833
     157       136       123
      84       136       115
     136       148       115
     136       157       173
     148       136       173
     235       215       205
     222       235       205
     266       235       264
     248       226       215
     248       235       266
     235       248       215
     226       248       260
     248       282       260
     248       266       282
     174       179       146
     138       174       146
     174       138       156
     179       174       206
     174       156       192
     206       174       192
     186       195       217
     101        58        67
     134       101       137
     167       168       137
     168       134       137
     199       167       196
     199       227       195
     168       199       195
     199       168       167
     199       196       230
     227       199       230
     326       320       293
     213       240       218
     221       193       191
     221       222       193
     222       221       249
     218       221       191
     243       221       218
     221       243       249
     294       273       269
     324       294       318
     294       324       305
     273       294       305
      91        55        89
      55        91        65
      91       130       123
     130        91        89
      55        20        21
      19        20        65
      20        55        65
